number,value,datetime_start,datetime_complete,duration,params_architecture,params_bias,params_dropout_rate,params_epochs,params_freeze_layers,params_lr,params_momentum,params_neurons_0,params_neurons_1,params_optimizer,params_weight_decay,state
0,0.9728298505030755,2025-01-22 08:29:56.335613,2025-01-22 08:34:14.792749,0 days 00:04:18.457136,resnet18,False,0.1,15,0,0.0009419648139413928,,96,224,AdamW,0.00030000000000000003,COMPLETE
1,0.9377978736404742,2025-01-22 08:34:14.795477,2025-01-22 08:38:00.452623,0 days 00:03:45.657146,vit_b_16,False,0.1,13,5,0.0009587787131436988,,64,224,AdamW,0.0004,COMPLETE
2,0.9197930669273697,2025-01-22 08:38:00.454408,2025-01-22 08:41:47.269795,0 days 00:03:46.815387,resnet18,True,0.1,14,5,0.0006869596128177914,,128,96,Adam,0.0007,COMPLETE
3,0.7780153977758768,2025-01-22 08:41:47.271424,2025-01-22 08:46:53.009275,0 days 00:05:05.737851,efficientnet_b0,True,0.4,19,0,0.004292795168634378,0.8653442915487626,96,224,SGD,0.0002,COMPLETE
4,0.8024563118660638,2025-01-22 08:46:53.010975,2025-01-22 08:51:44.071365,0 days 00:04:51.060390,efficientnet_b0,False,0.6,18,0,0.0030133791120935563,0.5663738874879723,96,224,SGD,0.00030000000000000003,COMPLETE
5,0.9129496109821175,2025-01-22 08:51:44.072928,2025-01-22 08:56:02.267422,0 days 00:04:18.194494,efficientnet_b0,False,0.6,16,10,6.135234503473821e-05,,256,160,Adam,0.0008,COMPLETE
6,0.7636363636363637,2025-01-22 08:56:02.271456,2025-01-22 08:56:19.754729,0 days 00:00:17.483273,vit_b_16,False,0.2,19,0,0.0005868020657980337,0.8908133165125818,96,64,SGD,0.00030000000000000003,PRUNED
7,0.9090390647276875,2025-01-22 08:56:19.756199,2025-01-22 09:01:45.609421,0 days 00:05:25.853222,resnet18,False,0.5,20,0,2.997968600539259e-05,,224,192,AdamW,0.0006000000000000001,COMPLETE
8,0.9041508819096501,2025-01-22 09:01:45.611016,2025-01-22 09:06:54.000659,0 days 00:05:08.389643,inception_v3,True,0.2,19,5,7.363502890476891e-05,,32,224,AdamW,0.00030000000000000003,COMPLETE
9,0.8545454545454545,2025-01-22 09:06:54.002302,2025-01-22 09:07:09.736270,0 days 00:00:15.733968,efficientnet_b0,False,0.1,19,0,0.0015027130557934546,0.8224737558878767,64,192,SGD,0.0007,PRUNED
10,0.9131532852662023,2025-01-22 09:07:09.737698,2025-01-22 09:09:18.049552,0 days 00:02:08.311854,resnet18,True,0.30000000000000004,8,10,0.00018326568881208563,,192,128,AdamW,0.0,COMPLETE
11,0.9028881013483238,2025-01-22 09:09:18.051383,2025-01-22 09:11:58.659125,0 days 00:02:40.607742,vit_b_16,False,0.1,10,5,0.00024857268321770866,,32,256,AdamW,0.0005,COMPLETE
12,0.806060606060606,2025-01-22 09:11:58.660615,2025-01-22 09:12:15.506230,0 days 00:00:16.845615,vit_b_16,False,0.2,12,5,0.007998359423345943,,160,256,AdamW,0.001,PRUNED
13,0.9927084606297608,2025-01-22 09:12:15.507594,2025-01-22 09:15:58.117448,0 days 00:03:42.609854,inception_v3,False,0.30000000000000004,14,5,0.0014928324685773667,,128,160,AdamW,0.0001,COMPLETE
14,0.8848484848484849,2025-01-22 09:15:58.119015,2025-01-22 09:16:14.677211,0 days 00:00:16.558196,inception_v3,False,0.30000000000000004,15,10,0.0019255712557398076,,160,160,AdamW,0.0,PRUNED
15,0.8181818181818181,2025-01-22 09:16:14.678561,2025-01-22 09:16:30.792417,0 days 00:00:16.113856,inception_v3,False,0.4,11,0,0.008905443668597968,,128,32,Adam,0.0001,PRUNED
16,0.8977147745325674,2025-01-22 09:16:30.793899,2025-01-22 09:21:00.974062,0 days 00:04:30.180163,resnet18,False,0.30000000000000004,17,5,0.00038947496563482043,,192,128,AdamW,0.0001,COMPLETE
17,0.9272727272727272,2025-01-22 09:21:00.975571,2025-01-22 09:21:32.450984,0 days 00:00:31.475413,inception_v3,False,0.5,5,5,0.00018054164430339475,,128,192,AdamW,0.0002,PRUNED
18,0.9882276263798933,2025-01-22 09:21:32.452269,2025-01-22 09:23:55.216554,0 days 00:02:22.764285,resnet18,True,0.2,9,0,0.0013706885927869663,,64,96,AdamW,0.0005,COMPLETE
19,0.909090909090909,2025-01-22 09:23:55.218184,2025-01-22 09:24:11.808222,0 days 00:00:16.590038,inception_v3,True,0.2,8,10,1.0618854499910753e-05,,64,96,Adam,0.001,PRUNED
20,0.8848484848484848,2025-01-22 09:24:11.810482,2025-01-22 09:24:27.831537,0 days 00:00:16.021055,resnet18,True,0.4,9,5,0.002014849242116211,,32,96,AdamW,0.0005,PRUNED
21,0.896969696969697,2025-01-22 09:24:27.833115,2025-01-22 09:24:43.892816,0 days 00:00:16.059701,resnet18,True,0.2,14,0,0.0014203926292671077,,96,64,AdamW,0.0004,PRUNED
22,0.7151515151515151,2025-01-22 09:24:43.894146,2025-01-22 09:24:59.983024,0 days 00:00:16.088878,resnet18,True,0.30000000000000004,12,0,0.0041680512135463576,,64,160,AdamW,0.0002,PRUNED
23,0.9030303030303031,2025-01-22 09:24:59.984322,2025-01-22 09:25:16.385412,0 days 00:00:16.401090,resnet18,True,0.2,6,0,0.0008030718045516696,,128,128,AdamW,0.0004,PRUNED
24,0.9098130270072101,2025-01-22 09:25:16.386780,2025-01-22 09:29:29.847844,0 days 00:04:13.461064,inception_v3,False,0.1,16,0,0.0004430456211357249,,96,64,AdamW,0.0001,COMPLETE
25,0.9314025011202085,2025-01-22 09:29:29.849602,2025-01-22 09:33:12.957816,0 days 00:03:43.108214,resnet18,False,0.30000000000000004,14,0,0.0011949793992063764,,160,32,AdamW,0.0005,COMPLETE
26,0.9272727272727272,2025-01-22 09:33:12.960437,2025-01-22 09:33:29.708770,0 days 00:00:16.748333,resnet18,True,0.2,11,0,0.0029123383517846075,,64,192,AdamW,0.0006000000000000001,PRUNED
27,0.8939393939393939,2025-01-22 09:33:29.713926,2025-01-22 09:33:45.765399,0 days 00:00:16.051473,inception_v3,False,0.1,16,0,0.00474301573514731,,192,96,AdamW,0.00030000000000000003,PRUNED
28,0.8848484848484849,2025-01-22 09:33:45.766782,2025-01-22 09:34:01.905489,0 days 00:00:16.138707,resnet18,True,0.30000000000000004,10,10,0.0025007567179428612,0.5544629413021616,96,160,SGD,0.0002,PRUNED
29,0.9212121212121211,2025-01-22 09:34:01.906945,2025-01-22 09:34:19.735970,0 days 00:00:17.829025,vit_b_16,False,0.1,7,5,0.0010026748627973959,,32,256,Adam,0.0004,PRUNED
30,0.9090909090909091,2025-01-22 09:34:19.737339,2025-01-22 09:34:35.831159,0 days 00:00:16.093820,inception_v3,False,0.2,13,5,0.00030333471512988266,,128,128,AdamW,0.0006000000000000001,PRUNED
31,0.9151515151515152,2025-01-22 09:34:35.832630,2025-01-22 09:34:52.743810,0 days 00:00:16.911180,vit_b_16,False,0.1,13,5,0.0007680905923955424,,64,224,AdamW,0.0004,PRUNED
32,0.9118701372764674,2025-01-22 09:34:52.745457,2025-01-22 09:38:51.790226,0 days 00:03:59.044769,vit_b_16,False,0.1,15,5,0.0005695472456883611,,64,224,AdamW,0.0005,COMPLETE
33,0.8848484848484848,2025-01-22 09:38:51.791844,2025-01-22 09:39:08.893113,0 days 00:00:17.101269,vit_b_16,False,0.1,15,5,0.0011771256962875025,,96,192,AdamW,0.00030000000000000003,PRUNED
34,0.8727272727272728,2025-01-22 09:39:08.894506,2025-01-22 09:39:24.676852,0 days 00:00:15.782346,efficientnet_b0,True,0.2,13,5,0.004989138622351328,0.7073066071464224,96,256,SGD,0.0008,PRUNED
35,0.9454545454545454,2025-01-22 09:39:24.678294,2025-01-22 09:40:43.434216,0 days 00:01:18.755922,resnet18,False,0.4,14,0,0.0005469278504974419,,64,224,Adam,0.0001,PRUNED
36,0.8666666666666667,2025-01-22 09:40:43.438473,2025-01-22 09:40:59.927353,0 days 00:00:16.488880,efficientnet_b0,False,0.1,17,5,0.0008442851792279754,,96,96,AdamW,0.00030000000000000003,PRUNED
37,0.8545454545454545,2025-01-22 09:40:59.928767,2025-01-22 09:41:16.752077,0 days 00:00:16.823310,vit_b_16,False,0.2,11,0,0.0018810154395094013,0.6566208899232301,128,224,SGD,0.0007,PRUNED
38,0.9393939393939394,2025-01-22 09:41:16.754537,2025-01-22 09:42:36.383812,0 days 00:01:19.629275,resnet18,True,0.5,12,0,0.00011383727178877627,,32,192,AdamW,0.0004,PRUNED
39,0.7181818181818181,2025-01-22 09:42:36.385209,2025-01-22 09:42:52.655457,0 days 00:00:16.270248,efficientnet_b0,False,0.1,17,10,0.0029060100237750207,,256,64,Adam,0.0006000000000000001,PRUNED
40,0.8848484848484849,2025-01-22 09:42:52.658708,2025-01-22 09:43:10.570995,0 days 00:00:17.912287,vit_b_16,False,0.2,10,5,0.0013318626617656207,,64,160,AdamW,0.0,PRUNED
41,0.8727272727272727,2025-01-22 09:43:10.572346,2025-01-22 09:43:26.449568,0 days 00:00:15.877222,resnet18,False,0.30000000000000004,14,0,0.0010772580139873692,,160,32,AdamW,0.0005,PRUNED
42,0.915151515151515,2025-01-22 09:43:26.452282,2025-01-22 09:43:42.318612,0 days 00:00:15.866330,resnet18,False,0.30000000000000004,15,0,0.001762767904043231,,160,32,AdamW,0.0005,PRUNED
43,0.903030303030303,2025-01-22 09:43:42.320016,2025-01-22 09:43:58.790364,0 days 00:00:16.470348,resnet18,False,0.4,14,0,0.000528207015476636,,224,64,AdamW,0.0007,PRUNED
44,0.9129088761253004,2025-01-22 09:43:58.792003,2025-01-22 09:47:25.250693,0 days 00:03:26.458690,resnet18,False,0.30000000000000004,13,0,0.0007743358344749048,,160,224,AdamW,0.0004,COMPLETE
45,0.7515151515151516,2025-01-22 09:47:25.252375,2025-01-22 09:47:41.096008,0 days 00:00:15.843633,resnet18,False,0.6,16,0,0.0036859038747010468,,128,32,AdamW,0.0006000000000000001,PRUNED
46,0.793939393939394,2025-01-22 09:47:41.097383,2025-01-22 09:47:56.964245,0 days 00:00:15.866862,inception_v3,False,0.2,12,0,0.006964006175225895,0.7479895832596973,96,256,SGD,0.00030000000000000003,PRUNED
47,0.9272727272727272,2025-01-22 09:47:56.965643,2025-01-22 09:48:13.133831,0 days 00:00:16.168188,resnet18,True,0.4,14,5,0.0002001665974255494,,192,128,AdamW,0.0002,PRUNED
48,0.8909090909090909,2025-01-22 09:48:13.139804,2025-01-22 09:48:30.495950,0 days 00:00:17.356146,vit_b_16,False,0.30000000000000004,18,10,0.002356077615334494,,224,192,AdamW,0.0005,PRUNED
49,0.9212121212121211,2025-01-22 09:48:30.497322,2025-01-22 09:48:46.451472,0 days 00:00:15.954150,inception_v3,False,0.1,15,0,0.00031601980244750857,,160,160,AdamW,0.0004,PRUNED
